City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,santa quiteria,-4.3319,-40.1567,22.07,77,4,1.32,BR,1723089973
282,vilyuchinsk,52.9306,158.4028,28.15,78,27,5.28,RU,1723089936
283,holualoa,19.6228,-155.9522,25.91,85,75,3.6,US,1723089973
284,gadzhiyevo,69.2551,33.3362,14.48,61,72,3.51,RU,1723089973
285,limassol,34.675,33.0333,25.1,88,0,1.03,CY,1723089973
286,malango,-2.9627,119.9001,27.14,58,38,2.11,ID,1723089958
287,kitgum,3.2783,32.8867,18.26,92,57,0.59,UG,1723089974
288,san antonio de pale,-1.4014,5.6325,22.64,82,100,5.21,GQ,1723089937
289,hithadhoo,-0.6,73.0833,27.64,75,100,4.25,MV,1723089941
290,bardai,11.65,7.2333,20.87,96,99,4.77,NG,1723089974
291,two rivers,44.1539,-87.5693,19.1,86,0,0.0,US,1723089974
292,northam,51.0333,-4.2167,17.03,93,45,5.48,GB,1723089974
293,luderitz,-26.6481,15.1594,9.87,82,0,2.84,NA,1723089940
294,necochea,-38.5473,-58.7368,6.3,94,100,12.01,AR,1723089856
295,manacapuru,-3.2997,-60.6206,26.45,57,1,1.86,BR,1723089958
296,kusong,39.9811,125.2447,30.38,66,24,1.97,KP,1723089975
297,yarmouth,41.7057,-70.2286,17.76,91,75,0.89,US,1723089930
298,bel ombre,-4.6167,55.4167,25.91,89,40,5.14,SC,1723089975
299,bokovskaya,49.229,41.8306,22.57,49,22,2.04,RU,1723089975
300,iskateley,67.6803,53.1512,11.22,62,0,2.2,RU,1723089942
301,port saint john's,-31.6229,29.5448,17.9,28,0,3.22,ZA,1723089976
302,fortaleza,-3.7227,-38.5247,26.79,78,75,5.14,BR,1723089797
303,la asuncion,11.0333,-63.8628,26.1,87,5,3.64,VE,1723089976
304,alaghsas,17.0187,8.0168,27.32,59,39,2.49,NE,1723089955
305,ts'q'alt'ubo,42.3413,42.5976,21.36,76,1,1.43,GE,1723089976
306,alindao,5.0267,21.2088,19.75,97,65,0.84,CF,1723089976
307,muli,2.9167,73.5667,26.46,83,100,6.18,MV,1723089976
308,lompoc,34.6391,-120.4579,19.83,82,0,2.06,US,1723089964
309,watsa,3.0372,29.5355,16.47,99,74,0.91,CD,1723089977
310,camayenne,9.535,-13.6878,25.05,94,75,3.09,GN,1723089977
311,nemuro,43.3236,145.575,17.18,100,100,3.09,JP,1723089955
312,vila franca do campo,37.7167,-25.4333,22.23,88,39,2.79,PT,1723089947
313,jackson,42.4165,-122.8345,28.53,24,100,2.57,US,1723089977
314,tandalti,13.0167,31.8667,26.14,74,94,3.78,SD,1723089977
315,starkville,33.4504,-88.8184,24.13,83,100,2.06,US,1723089977
316,east london,-33.0153,27.9116,9.52,71,0,1.54,ZA,1723089955
317,san clemente,33.427,-117.612,23.05,90,14,1.34,US,1723089741
318,pontes e lacerda,-15.2261,-59.3353,26.34,38,89,1.0,BR,1723089700
319,las tablas,7.7667,-80.2833,25.1,99,100,1.2,PA,1723089978
320,amble,55.3333,-1.5833,13.42,88,0,4.63,GB,1723089978
321,concepcion,-36.827,-73.0498,5.89,87,0,2.06,CL,1723089571
322,turkmenbasy,40.0222,52.9552,25.43,69,0,8.23,TM,1723089978
323,bairnsdale,-37.8333,147.6167,17.81,44,100,0.89,AU,1723089946
324,coquimbo,-29.9533,-71.3436,11.85,72,100,0.51,CL,1723089945
325,kismayo,-0.3582,42.5454,24.8,76,54,6.83,SO,1723089979
326,carmo do paranaiba,-19.0008,-46.3161,15.06,55,1,0.19,BR,1723089979
327,anqing,30.5092,117.0506,37.38,47,0,3.85,CN,1723089979
328,reggane,26.7158,0.1714,34.56,12,2,7.36,DZ,1723089933
329,flying fish cove,-10.4217,105.6791,26.82,83,100,7.72,CX,1723089938
330,bamboo flat,11.7,92.7167,30.05,74,75,3.09,IN,1723089853
331,cromer,52.9312,1.2989,15.08,89,35,5.81,GB,1723089979
332,mondariz,42.2311,-8.4584,19.19,88,0,0.51,ES,1723089979
333,tura,25.5198,90.2201,28.6,77,61,3.04,IN,1723089966
334,alipur,29.3846,70.9116,34.75,51,0,5.01,PK,1723089979
335,ardmore,34.1743,-97.1436,29.3,69,0,0.0,US,1723089980
336,diano marina,43.9103,8.0793,25.87,88,20,0.45,IT,1723089980
337,auki,-8.7676,160.7034,26.89,86,100,2.16,SB,1723089968
338,taibet,33.0829,6.3998,29.88,31,0,4.52,DZ,1723089980
339,undurkhaan,47.3194,110.6556,23.27,62,100,3.37,MN,1723089980
340,pandan,14.0453,124.1694,32.1,64,18,4.02,PH,1723089980
341,portland,45.5234,-122.6762,27.04,54,0,3.6,US,1723089952
342,ugoofaaru,5.6667,73.0,28.18,75,13,7.29,MV,1723089980
343,sao luis de montes belos,-16.525,-50.3722,19.68,42,0,0.38,BR,1723089762
344,baley,51.6,116.6333,26.23,30,48,1.84,RU,1723089981
345,whitby,54.4877,-0.615,15.17,86,26,4.69,GB,1723089981
346,cannonvale,-20.2833,148.7,23.66,73,35,7.33,AU,1723089981
347,valparaiso,-33.0393,-71.6273,6.8,87,0,1.54,CL,1723089967
